Level -> Specify Data Points,,,
Left,,Right,
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
20,114.587902,20,113.9079527
21.44534444,114.9247873,21.44534444,114.2914752
22.99513991,115.2434365,22.99513991,114.6580056
24.65693479,115.5390684,24.65693479,115.0018543
26.43882297,115.8077889,26.43882297,115.3179236
28.34948326,116.0516418,28.34948326,115.6081236
30.39822166,116.2723149,30.39822166,115.8737785
32.59501669,116.4701056,32.59501669,116.114603
34.950568,116.6463778,34.950568,116.3317238
37.47634846,116.8025044,37.47634846,116.5265505
40.18466005,116.938763,40.18466005,116.6992497
43.0886938,117.0560653,43.0886938,116.8506066
46.202594,117.1545053,46.202594,116.9805133
49.54152712,117.2341795,49.54152712,117.08905
53.12175566,117.2943993,53.12175566,117.1756178
56.96071737,117.3357617,56.96071737,117.2410669
61.07711018,117.3588869,61.07711018,117.2861776
65.49098326,117.3641826,65.49098326,117.3115098
70.22383468,117.3512829,70.22383468,117.3168855
75.29871614,117.319946,75.29871614,117.3026596
80.74034517,117.2713619,80.74034517,117.2703386
86.57522562,117.2050597,86.57522562,117.2194607
92.83177667,117.1210066,92.83177667,117.1496475
99.54047129,117.0184491,99.54047129,117.0596156
106.7339846,116.8965132,106.7339846,116.9496667
114.4473532,116.7546308,114.4473532,116.8201459
122.7181455,116.592627,122.7181455,116.670068
131.5866449,116.410756,131.5866449,116.4994903
141.0960462,116.2095679,141.0960462,116.3083892
151.2926655,115.9874039,151.2926655,116.0962156
162.2261662,115.743164,162.2261662,115.8620689
173.9498005,115.4768972,173.9498005,115.606014
186.5206694,115.189902,186.5206694,115.3292262
200,114.8836547,200,115.0326664
214.4534444,114.5575977,214.4534444,114.7156924
229.9513991,114.2126557,229.9513991,114.3790012
246.5693479,113.8472171,246.5693479,114.0216192
264.3882297,113.4619394,264.3882297,113.6449943
283.4948326,113.0583335,283.4948326,113.2501238
303.9822166,112.6383053,303.9822166,112.8383957
325.9501669,112.204088,325.9501669,112.411452
349.50568,111.7554407,349.50568,111.9690074
374.7634846,111.2922689,374.7634846,111.5115046
401.8466005,110.816277,401.8466005,111.0406257
430.886938,110.329115,430.886938,110.5575272
462.02594,109.8332955,462.02594,110.0644033
495.4152712,109.3307238,495.4152712,109.5630275
531.2175566,108.8237312,531.2175566,109.0557091
569.6071737,108.3162299,569.6071737,108.5466918
610.7711018,107.8135347,610.7711018,108.0413365
654.9098326,107.3163454,654.9098326,107.549215
702.2383468,106.8301876,702.2383468,107.0838135
752.9871614,106.3926235,752.9871614,106.6612735
807.4034517,106.0305448,807.4034517,106.3046186
865.7522562,105.7830688,865.7522562,106.0337203
928.3177667,105.6514931,928.3177667,105.8551035
995.4047129,105.6247636,995.4047129,105.7531236
1067.339846,105.6757405,1067.339846,105.7179163
1144.473532,105.7500413,1144.473532,105.7170331
1227.181455,105.7992846,1227.181455,105.7488115
1315.866449,105.802892,1315.866449,105.7748551
1410.960462,105.8124215,1410.960462,105.8361511
1512.926655,105.8762086,1512.926655,105.9754077
1622.261662,106.0155217,1622.261662,106.219712
1739.498005,106.2049194,1739.498005,106.5311255
1865.206694,106.4004703,1865.206694,106.8277901
2000,106.5797763,2000,107.0570713
2144.534444,106.7277855,2144.534444,107.2072953
2299.513991,106.8398884,2299.513991,107.2917404
2465.693479,106.9203346,2465.693479,107.3335707
2643.882297,106.9733463,2643.882297,107.3478357
2834.948326,106.9968464,2834.948326,107.3375318
3039.822166,106.9789106,3039.822166,107.2954365
3259.501669,106.9075943,3259.501669,107.2078119
3495.0568,106.7992362,3495.0568,107.0652122
3747.634846,106.6668717,3747.634846,106.8644073
4018.466005,106.5088183,4018.466005,106.6186559
4308.86938,106.3315857,4308.86938,106.3636301
4620.2594,106.1548771,4620.2594,106.1482236
4954.152712,106.0456057,4954.152712,106.0137711
5312.175566,106.0611984,5312.175566,105.9825984
5696.071737,106.200384,5696.071737,106.0289695
6107.711018,106.3602068,6107.711018,106.051473
6549.098326,106.3374629,6549.098326,105.8655792
7022.383468,105.9364171,7022.383468,105.2943504
7529.871614,105.0678081,7529.871614,104.2620831
8074.034517,103.7875742,8074.034517,102.8345427
8657.522562,102.3501615,8657.522562,101.2567445
9283.177667,101.2273813,9283.177667,99.98519125
9954.047129,101.0759585,9954.047129,99.67050489
10673.39846,102.5637328,10673.39846,101.0965951
11444.73532,104.6905698,11444.73532,103.5225213
12271.81455,105.0968517,12271.81455,104.1244547
13158.66449,104.298254,13158.66449,103.4401653
14109.60462,101.6150371,14109.60462,100.9212807
15129.26655,97.2925926,15129.26655,96.43250626
16222.61662,94.57300617,16222.61662,94.06526914
17394.98005,93.44216063,17394.98005,93.70385791
18652.06694,92.87449343,18652.06694,93.65842914
20000,92.37357338,20000,93.56300833
